"game","tier","slug","filename","text","variants","shared","note"
"Red Light / Green Light","system","green-light","green-light.mp3","Green light!","3","",""
"Red Light / Green Light","system","yellow-light","yellow-light.mp3","Yellow light!","3","","only spoken when Yellow Light toggle is ON"
"Red Light / Green Light","system","red-light","red-light.mp3","Red light!","3","",""
"Red Light / Green Light","system","time-is-up","time-is-up.mp3","Time is up!","1","yes","closing pool A — time-up phrases (shared with Floor Lava + Simon)"
"Red Light / Green Light","system","times-up","times-up.mp3","Time's up!","1","yes","closing pool A — time-up phrases (shared with Floor Lava + Simon)"
"Red Light / Green Light","system","out-of-time","out-of-time.mp3","Out of time!","1","yes","closing pool A — time-up phrases (shared with Floor Lava + Simon)"
"Red Light / Green Light","system","buzzer-time","buzzer-time.mp3","Buzzer time!","1","yes","closing pool A — time-up phrases (shared with Floor Lava + Simon)"
"Red Light / Green Light","system","all-done","all-done.mp3","All done!","1","yes","closing pool A — time-up phrases (shared with Floor Lava + Simon)"
"Red Light / Green Light","system","great-job","great-job.mp3","Great job!","1","yes","closing pool B — generic praise (shared with Floor Lava)"
"Red Light / Green Light","system","good-job","good-job.mp3","Good job!","1","yes","closing pool B — generic praise (shared with Floor Lava)"
"Red Light / Green Light","system","nice-work","nice-work.mp3","Nice work!","1","yes","closing pool B — generic praise (shared with Floor Lava)"
"Red Light / Green Light","system","well-done","well-done.mp3","Well done!","1","yes","closing pool B — generic praise (shared with Floor Lava)"
"Red Light / Green Light","system","you-did-it","you-did-it.mp3","You did it!","1","yes","closing pool B — generic praise (shared with Floor Lava)"
"Red Light / Green Light","system","awesome","awesome.mp3","Awesome!","1","yes","closing pool B — generic praise (shared with Floor Lava)"
"Floor is Lava","system","hop-on-one-foot","hop-on-one-foot.mp3","Hop on one foot!","1","","Test Voice button line"
"Floor is Lava","system","time-is-up","time-is-up.mp3","Time is up!","1","yes","closing pool A — time-up (shared)"
"Floor is Lava","system","times-up","times-up.mp3","Time's up!","1","yes","closing pool A — time-up (shared)"
"Floor is Lava","system","out-of-time","out-of-time.mp3","Out of time!","1","yes","closing pool A — time-up (shared)"
"Floor is Lava","system","buzzer-time","buzzer-time.mp3","Buzzer time!","1","yes","closing pool A — time-up (shared)"
